ANO_FOLHA;MES_FOLHA;MATRICULA;UnidadeGestora;UNIDADE_GESTORA_CODIGO;REMUNERACAO_TOTAL;CARGO;LOTACAO
2017;1;000000000000002;CAMARA DE CAMPO GRANDE DO PIAUI;101045;2420;VEREADOR;VEREADOR
2017;1;000000000000002;CAMARA DE RIACHO FRIO;101170;2946.37;VEREADOR(A);VEREADOR(A)
2017;1;000000000000002;P. M. DE CAJUEIRO DA PRAIA;201041;3409.35;PROFESSOR CLASSE - SL N - IV 40 h;FUNDEB 60 % - ENS FUNDAM - PROFES EFETIVOS
2017;1;000000000000002;P. M. DE UNIAO;201216;1354.1;AGENTE COM. SAUDE;FUNDO MUNICIPAL DE SAÈDE - FMS
2017;1;000000000000002;CAMARA DE SANTA CRUZ DOS MILAGRES;101175;2100;VEREADOR;PLENµRIO
2017;1;000000000000002;CAMARA DE JUREMA;101111;2111.12;VEREADOR;VEREADORES
2017;1;000000000000002;CAMARA DE PARNAGUA;101150;3340.34;VEREADOR;CAMARA
2017;1;000000000000002;CAMARA DE BURITI DOS MONTES;101038;2992.5;VEREADOR - PRESIDENTE;CAMARA MUNICIPAL DE BURITI DOS MONTES
2017;1;000000000000002;CAMARA DE SAO JOAO DA VARJOTA;101192;1030.7;AUXILIAR DE SERVIÄOS GERAIS;CAMARA MUNICIPAL./SERVIDORES
2017;1;000000000000002;CAMARA DE BELA VISTA DO PIAUI;101024;2900;VEREADOR;VEREADORES
2017;1;000000000000002;P. M. DE SAO MIGUEL DO TAPUIO;201203;1361.8;VICE-PREFEITO;ACS
2017;1;000000000000002;P. M. DE DOMINGOS MOURAO;201076;3898.39;PROFESSOR CB NII;FUNDEB 60%
2017;1;000000000000002;P. M. DE QUEIMADA NOVA;201167;2350;SECRETARIO DE SAUDE;SECRETARIA DE SAUDE\CARGOS COMISSIONADOS
2017;1;000000000000002;CAMARA DE BREJO DO PIAUI;101036;1405.5;CONTROLADOR INTERNO;FUNCIONARIOS
2017;1;000000000000002;CAMARA DE PAJEU DO PIAUI;101146;2400;VEREADOR;VEREADORES
2017;1;000000000000003;P. M. DE SAO MIGUEL DA BAIXA GRANDE;201201;937;AGENTE ADMINISTRATIVO;SECRETARIA MUN DE EDUCAÄ«O CULTURA DESPORTO E TURI
2017;1;000000000000003;P. M. DE PAVUSSU;201156;81.78;PROFESSOR C-A N-II 20H;FUNDEB 60%
2017;1;000000000000003;P. M. DE PATOS DO PIAUI;201153;1014.92;FISCAL DE TRIBUTOS;SECRETARIA DE ADMINISTRAÄ«O E FINANÄAS
2017;1;000000000000003;CAMARA DE BOA HORA;101029;1950;VEREADOR(A);VEREADORES
2017;1;000000000000003;P. M. DE PARNAIBA;201151;874.53;RECEPCIONISTA;2008-COORD.DA SEC.ADMINISTRACAO(PL.FINANCEIRO)
2017;1;000000000000003;CAMARA DE URUCUI;101217;1500;CHEFE DE GABINETE DO VEREADOR;SERVIDORES - GABINETE STANLEY & PRESIDENCIA
2017;1;000000000000003;CAMARA DE COCAL DE TELHA;101058;2000;VEREADOR;CAMARA MUNICIPAL DE COCAL DE TELHA
2017;1;000000000000003;CAMARA DE BURITI DOS MONTES;101038;2250;VEREADOR (A);CAMARA MUNICIPAL DE BURITI DOS MONTES
2017;1;000000000000003;P. M. DE AGUA BRANCA;201003;880;AUXILIAR DE SERVIÄOS GERAIS;12-FUNDEB 40%-ANTERIOR 30/12/2007
2017;1;000000000000003;CAMARA DE COCAL DOS ALVES;101059;2352.96;1 SECRETARIO;VEREADORES
2017;1;000000000000003;CAMARA DE GEMINIANO;101089;2400;VEREADOR;VEREADOR
2017;1;000000000000003;P. M. DE QUEIMADA NOVA;201167;1292.75;PROFESSOR;SEDUC\FUNDEB 60%\ATIVOS EFETIVOS\PROFESSOR ENS. FU
2017;1;000000000000003;CAMARA DE ANGICAL DO PIAUI;101010;937;TESOUREIRO;SECRETARIA DA CAMARA
2017;1;000000000000003;P. M. DE SAO MIGUEL DO TAPUIO;201203;3742.29;PROFESSOR(A);PROFESSORES (ENSINO FUNDAMENTAL)
2017;1;000000000000003;P. M. DE AMARANTE;201009;1071.54;AGENTE FISCAL DE TRIBUTOS;SEC.MUN.DE ADMIN.-INFORMµTICA
2017;1;000000000000003;P. M. DE NOVO SANTO ANTONIO;201141;10414.05;PREFEITO MUNICIPAL;GABINETE DO PREFEITO
2017;1;000000000000003;P. M. DE CARACOL;201052;3471.07;PROF CLASSE C IV 40H;FUNDEB 60%
2017;1;000000000000003;CAMARA DE BARRO DURO;101022;2841.25;VEREADOR 2ß SECRETµRIO;FOLHA DE VEREADORES
2017;1;000000000000003;P. M. DE SAO GONCALO DO GURGUEIA;201187;1084.69;Aux. de Servicos gerais;SEC. DE EDUCACAO - FUNDEB 40%
2017;1;000000000000003;CAMARA DE FRANCISCO AYRES;101085;2335;VEREADOR;C∂MARA MUNICIPAL DE FRANCISCO AYRES
2017;1;000000000000003;CAMARA DE SIGEFREDO PACHECO;101208;1329.43;CONTROLADOR(A);EFETIVOS
2017;1;000000000000003;CAMARA DE CAPITAO DE CAMPOS;101050;3048;VEREADOR;VEREADORES
2017;1;000000000000003;CAMARA DE CURRALINHOS;101071;2400;VEREADOR;CAMARA MUNICIPAL DE CURRALINHO (VEREADORES)
2017;1;000000000000004;P. M. DE SAO MIGUEL DA BAIXA GRANDE;201201;1216.8;AGENTE DE SAUDE;PROGRAMA DE AGENTE COMUNITARIO DE SAUDE
2017;1;000000000000004;CAMARA DE CAPITAO GERVASIO OLIVEIRA;101051;3000;VEREADOR;CAMARA MUNICIPAL - VEREADORES
2017;1;000000000000004;CAMARA DE ARRAIAL;101015;937;TESOUREIRO;CAMARA DE VEREADORES - FUNCIONARIOS
2017;1;000000000000004;P. M. DE OEIRAS;201142;1615.69;Professor - B/III - 20h;203.06 - SEC. DE EDUCACAO/PROFESSORES 60%
2017;1;000000000000004;P. M. DE CARACOL;201052;3471.07;PROF CLASSE C IV 40H;FUNDEB 60%
2017;1;000000000000004;CAMARA DE DOM EXPEDITO LOPES;101074;2564;VEREADOR;VEREADOR
2017;1;000000000000004;CAMARA DE CAJUEIRO DA PRAIA;101041;1077.55;ZELADOR;ADMINISTRAÄ«O CAMARA MUNICIPAL
2017;1;000000000000004;CAMARA DE LUIZ CORREIA;101119;2556.63;VEREADOR(A);CAMARA MUNICIPAL
2017;1;000000000000004;CAMARA DE BOA HORA;101029;2340;SEGUNDO VICE PRESIDENTE;VEREADORES
2017;1;000000000000004;P. M. DE CANAVIEIRA;201048;1077.55;TEC. EM ENFERMAGEM;PSF
2017;1;000000000000004;P. M. DE SANTO INACIO DO PIAUI;201182;2016.8;AGENTE COMUNITARIO DE SAUDE;SEC. MUN DE ADM. E OBRAS
2017;1;000000000000004;P. M. DE PAJEU DO PIAUI;201146;1601;AGENTE ADMINISTRATIVO;SECRETARIA DE EDUCAÄ«O
2017;1;000000000000004;CAMARA DE AVELINO LOPES;101017;2086.25;AUX. SERVICOS GERAIS;UNICA
2017;1;000000000000004;P. M. DE PADRE MARCOS;201144;937;GARI;SEAD - DEPTO.ADMINISTRAÄ«O II
2017;1;000000000000004;CAMARA DE JARDIM DO MULATO;101102;2316.41;VEREADOR (A);VEREADORES
2017;1;000000000000004;P. M. DE BONFIM DO PIAUI;201033;3870.15;COORDENADOR(A)EM EDUCACAO;SEC EDUCACAO CULTURA DESPORTO E LAZER-FUNDEB 60%
2017;1;000000000000005;CAMARA DE SANTA CRUZ DOS MILAGRES;101175;2100;VEREADOR;PLENµRIO
2017;1;000000000000005;P. M. DE DOMINGOS MOURAO;201076;3728.89;PROFESSOR CB NII;FUNDEB 60%
2017;1;000000000000005;CAMARA DE COCAL DOS ALVES;101059;2352.96;TESOUREIRO;VEREADORES
2017;1;000000000000005;CAMARA DE AGUA BRANCA;101003;3817.61;VEREADOR;PLENµRIO DA C∂MARA
2017;1;000000000000005;P. M. DE PARNAIBA;201151;874.53;RECEPCIONISTA;2008-COORD.DA SEC.ADMINISTRACAO(PL.FINANCEIRO)
2017;1;000000000000005;P. M. DE FLORESTA DO PIAUI;201082;937;VIGIA;SETOR: EDUCACAO 40%
2017;1;000000000000005;P. M. DE FLORESTA DO PIAUI;201082;1249.33;VIGIA;SETOR: EDUCACAO 40%
2017;1;000000000000005;P. M. DE CRISTALANDIA DO PIAUI;201066;1150;CHEFE DE ARRECADACAO E TRIBUTOS;SEC. MUNIC. DE ADMIN E GESTAO-COMISSIONADOS
2017;1;000000000000005;P. M. DE CAMPO MAIOR;201047;1405.5;VICE-PREFEITO;FUNDO PREVIDENCIµRIO DE CAMPO MAIOR
2017;1;000000000000005;P. M. DE PASSAGEM FRANCA DO PIAUI;201152;6292.21;PROF CL C N VI 40H;FUNDEB 60%
2017;1;000000000000005;P. M. DE FRANCINOPOLIS;201084;1299.8;PROFESSOR(A);SEC.MUN.EDUCACAO-CLT - 60 %/FUNDEB
2017;1;000000000000005;CAMARA DE SANTA ROSA DO PIAUI;101178;2720;VEREADOR(A);CAMARA MUNICIPAL
2017;1;000000000000005;CAMARA DE FLORIANO;101083;8550;VEREADOR;PLENARIO DA CAMARA-VEREADORES
2017;1;000000000000005;P. M. DE AGUA BRANCA;201003;4112.13;PROFESSOR CLASSE BE;11-FUNDEB 60%-ANTERIOR 30/12/2007
2017;1;000000000000005;P. M. DE SANTO INACIO DO PIAUI;201182;968.07;AUX. DE SERV. GER.;FUNDEB 40%
2017;1;000000000000005;CAMARA DE URUCUI;101217;937;MOTORISTA;SERVIDORES - GABINETE STANLEY & PRESIDENCIA
2017;1;000000000000005;P. M. DE CAMPINAS DO PIAUI;201043;1357.76;"PROF. ""CL C POS GRADUACAO""";FUNDEB 60% - EFETIVOS
2017;1;000000000000005;P. M. DE SAO MIGUEL DO TAPUIO;201203;2842.3;PROFESSOR(A);PROFESSORES (ENSINO FUNDAMENTAL)
2017;1;000000000000006;CAMARA DE AVELINO LOPES;101017;1203.93;VIGIA;UNICA
2017;1;000000000000006;CAMARA DE CAJUEIRO DA PRAIA;101041;3248;VEREADOR - PRESIDENTE;VEREADORES
2017;1;000000000000006;P. M. DE CAMPO MAIOR;201047;3661.86;NUTRIONISTA;FUNDO PREVIDENCIµRIO DE CAMPO MAIOR
2017;1;000000000000001;CAMARA DE ITAINOPOLIS;101098;1061.77;ALMOXARIFE;EFETIVOS
2017;1;000000000000001;CAMARA DE RIBEIRO GONCALVES;101172;4823.1;VEREADOR;VEREADORES
2017;1;000000000000001;AMPAR - ASSOCIAÄ«O DOS MUNICIPIOS DO MêDIO-PARNAIBA;421522;1405.4;SECRETARIO(A);ADMINISTRAÄ«O
2017;1;000000000000001;CAMARA DE FLORESTA DO PIAUI;101082;2210.42;VEREADOR;PLENARIO
2017;1;000000000000001;P. M. DE JULIO BORGES;201110;1077.55;VIGIA;GERAL
2017;1;000000000000001;CAMARA DE VARZEA BRANCA;101219;3525;VEREADOR;VEREADOR
2017;1;000000000000001;CAMARA DE CAJUEIRO DA PRAIA;101041;2706.67;VEREADOR(A);VEREADORES
2017;1;000000000000001;CAMARA DE TANQUE DO PIAUI;101214;2490;VEREADOR PRESIDENTE;FOLHA VEREADORES
2017;1;000000000000001;CAMARA DE BOA HORA;101029;1950;VEREADOR(A);VEREADORES
2017;1;000000000000001;P. M. DE SANTA CRUZ DO PIAUI;201174;968.07;AUXILIAR DE SERVIÄOS GERAIS;SECRETARIA MUNICIPAL DE SAUDE
2017;1;000000000000001;CAMARA DE LUIZ CORREIA;101119;7027.35;VEREADOR PRESIDENTE;CAMARA MUNICIPAL
2017;1;000000000000001;CAMARA DE BOM JESUS;101031;9000.98;VEREADOR;VEREADORES
2017;1;000000000000001;P. M. DE FLORESTA DO PIAUI;201082;2530.69;PROFESSOR (POS GRADUADO-40 HORAS);SETOR: EDUCACAO 60%
2017;1;000000000000001;CAMARA DE PIMENTEIRAS;101160;5980;VEREADOR 1ß SECRETµRIO;VEREADOR (A)
2017;1;000000000000002;CAMARA DE URUCUI;101217;8156;VEREADOR(A);PLENARIO DA CAMARA
2017;1;000000000000002;CAMARA DE CAXINGO;101056;1405.5;CONTROLADOR(A);C∂MARA MUNICIPAL
2017;1;000000000000002;CAMARA DE BATALHA;101023;5557.35;VEREADOR(A);VEREADORES
2017;1;000000000000002;P. M. DE JULIO BORGES;201110;1756.02;PROFESSOR(A);FUNDEB CLASSE C
2017;1;000000000000002;P. M. DE UNIAO;201216;957.05;AGENTE COM. SAUDE;FUNDO MUNICIPAL DE SAÈDE - FMS
2017;1;000000000000002;P. M. DE JOAO COSTA;201105;1421.65;AUX DE SERVIÄOS GERAIS;EDUCAÄ«O 40%
2017;1;000000000000002;CAMARA DE SANTA CRUZ DO PIAUI;101174;2300;VEREADOR;VEREADOR
2017;1;000000000000002;CAMARA DE SEBASTIAO LEAL;101207;3567;VEREADOR;CAMARA MUNICIPAL - PLENARIO
2017;1;000000000000002;P. M. DE SANTA CRUZ DO PIAUI;201174;1601.6;ASSISTENTE SOCIAL;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL
2017;1;000000000000002;P. M. DE OEIRAS;201142;1744.95;Professor - C/III - 20h;203.06 - SEC. DE EDUCACAO/PROFESSORES 60%
2017;1;000000000000002;CAMARA DE ITAINOPOLIS;101098;1499.2;DIGITADOR(A);EFETIVOS
2017;1;000000000000002;P. M. DE CARAUBAS DO PIAUI;201053;2904.2;PROFESSOR (B) 20H;60% ENSINO FUNDAMENTAL
2017;1;000000000000003;P. M. DE RIO GRANDE DO PIAUI;201173;999.14;AUX. SERV. GERAIS;FUNDEB 40%
2017;1;000000000000003;P. M. DE BAIXA GRANDE DO RIBEIRO;201018;1387.55;AUXILIAR DE SERVIÄOS GERAIS;SECRETARIA DE ADMINISTRAÄ«O
2017;1;000000000000003;CAMARA DE PARNAGUA;101150;3340.34;VEREADOR;CAMARA
2017;1;000000000000003;P. M. DE SAO JOSE DO PIAUI;201197;1560;CHEFE J.S.M;PREFEITURA MUNICIPAL - FPM
2017;1;000000000000003;P. M. DE CRISTALANDIA DO PIAUI;201066;1150;MOTORISTA;GABINETE DO PREFEITO
2017;1;000000000000003;P. M. DE SAO RAIMUNDO NONATO;201205;2135.64;PROFESSOR(A);MAGISTERIO FUNDEB (60%)
2017;1;000000000000003;CAMARA DE TANQUE DO PIAUI;101214;2075;VEREADOR;FOLHA VEREADORES
2017;1;000000000000003;CAMARA DE RIACHO FRIO;101170;2946.37;VEREADOR(A);VEREADOR(A)
2017;1;000000000000003;CAMARA DE AMARANTE;101009;4920;VEREADOR (A);VERADORES
2017;1;000000000000003;P. M. DE CARAUBAS DO PIAUI;201053;2525.39;PROFESSOR (A) 20H;60% ENSINO FUNDAMENTAL
2017;1;000000000000003;CAMARA DE SAO MIGUEL DO FIDALGO;101202;937;TESOUREIRA;FOLHA DOS FUNCIONARIOS
2017;1;000000000000003;CAMARA DE BOM JESUS;101031;9000.98;VEREADOR;VEREADORES
2017;1;000000000000003;CAMARA DE PIMENTEIRAS;101160;4600;VEREADOR;VEREADOR (A)
2017;1;000000000000003;P. M. DE BENEDITINOS;201026;1059.86;GARI;SECRETµRIA MUNICICPAL.DE ADMINISTRACAO
2017;1;000000000000003;CAMARA DE GUADALUPE;101091;5800;VEREADOR;VEREADORES
2017;1;000000000000003;P. M. DE SANTO INACIO DO PIAUI;201182;1058.88;TêCNICO DE ENFERMAGEM PSF-I;EQUIPE PSF I
2017;1;000000000000004;CAMARA DE PARNAGUA;101150;3340.34;VEREADOR;CAMARA
2017;1;000000000000004;CAMARA DE BENEDITINOS;101026;2038.5;VEREADOR;PLENARIO
2017;1;000000000000004;CAMARA DE CAMPO MAIOR;101047;7000;VEREADOR;CAMARA MUNICIPAL - VEREADORES
2017;1;000000000000000;P. M. DE BARRA D ALCANTARA;201019;1216.8;AGENTE COMUNITARIO DE SAUDE;SEC.MUN.DE SAÈDE - PROG. DE AGENTES COMUN. DE SAÈD
2017;1;000000000000000;P. M. DE PEDRO LAURENTINO;201158;1064.11;AUXILIAR DE SERVIÄOS GERAIS;FUNDEB 40%
2017;1;000000000000001;P. M. DE PADRE MARCOS;201144;1321.81;PROFESSOR SL 20H;SME- DEPTOR ENSINO FUNDEB 60% I
2017;1;000000000000001;CAMARA DE CURRALINHOS;101071;2880;VEREADOR;CAMARA MUNICIPAL DE CURRALINHO (VEREADORES)
2017;1;000000000000001;CAMARA DE CAMPO MAIOR;101047;7000;VEREADOR;CAMARA MUNICIPAL - VEREADORES
2017;1;000000000000001;CAMARA DE FRONTEIRAS;101088;7750;VEREADOR;VEREADORES
2017;1;000000000000001;CAMARA DE SAO FRANCISCO DO PIAUI;101186;2425;VEREADOR;VEREADOR
2017;1;000000000000001;CAMARA DE JOAO COSTA;101105;2400;VEREADOR;CAMARA
2017;1;000000000000001;P. M. DE SANTA CRUZ DOS MILAGRES;201175;1139.69;VIGIA;ADMINISTRAÄ«O
2017;1;000000000000001;P. M. DE SIMOES;201209;636.1;VIGIA - CLASSE A - NIVEL IV;SEC. ADMINISTRACAO -INTERNOS
2017;1;000000000000001;P. M. DE BOM JESUS;201031;3214.32;PROFESSOR(A) CLASSE B. NIVEL IV 40HS;SEC. EDUCAÄ«O - DIRETOR E COORDENADOR 60%
2017;1;000000000000001;CAMARA DE SEBASTIAO LEAL;101207;3567;VEREADOR;CAMARA MUNICIPAL - PLENARIO
2017;1;000000000000001;CAMARA DE BOQUEIRAO DO PIAUI;101034;1699.68;VEREADOR(A);CAMARA DE VEREADORES
2017;1;000000000000001;P. M. DE CRISTALANDIA DO PIAUI;201066;12000;PREFEITO MUNICIPAL;PREFEITO
2017;1;000000000000001;CAMARA DE RIACHO FRIO;101170;2946.37;VEREADOR(A);VEREADOR(A)
2017;1;000000000000001;P. M. DE PAES LANDIM;201145;1190;AGENTE COMUNITARIO;AGENTE COMUNITARIO
2017;1;000000000000001;P. M. DE ILHA GRANDE;201094;2849;PROFESSOR C C N 3 - 40Hs;EDUC. FUNDEB 60% EFETIVO
2017;1;000000000000001;CAMARA DE CAPITAO GERVASIO OLIVEIRA;101051;3000;VEREADOR;CAMARA MUNICIPAL - VEREADORES
2017;1;000000000000001;CAMARA DE BENEDITINOS;101026;2650.05;VEREADOR;PLENARIO
2017;1;000000000000001;P. M. DE OEIRAS;201142;3370.78;Professor - A/III - 40h;203.20 - SEC. DE EDUCAÄ«O/ EDUCAÄ«O INFANTIL - 60%
2017;1;000000000000001;P. M. DE PEDRO LAURENTINO;201158;1084.69;AUXILIAR DE SERVIÄOS GERAIS;FUNDEB 40%
2017;1;000000000000001;CAMARA DE BARRO DURO;101022;1063.07;ZELADOR(A);FOLHA DOS EFETIVOS
2017;1;000000000000001;P. M. DE BAIXA GRANDE DO RIBEIRO;201018;1374.27;AUXILIAR ADMINISTRATIVO;FUNDEB - 40%
2017;1;000000000000001;CAMARA DE AVELINO LOPES;101017;3600;VEREADOR(A);VEREADORES
2017;1;000000000000001;P. M. DE SAO MIGUEL DO TAPUIO;201203;1284.8;VICE-PREFEITO;ACS
2017;1;000000000000001;CAMARA DE PARNAGUA;101150;3897.06;VEREADOR PRESIDENTE;CAMARA
2017;1;000000000000002;P. M. DE AROAZES;201013;4164.77;ASSISTENTE SOCIAL;FMAS - ADMINISTRAÄ«O
2017;1;000000000000002;CAMARA DE CAMPO MAIOR;101047;7000;VEREADOR;CAMARA MUNICIPAL - VEREADORES
2017;1;000000000000002;CAMARA DE BOA HORA;101029;2340;PRIMEIRO VICE PRESIDENTE;VEREADORES
2017;1;000000000000002;CAMARA DE CAJUEIRO DA PRAIA;101041;3466.73;CONTROLADOR;ADMINISTRAÄ«O CAMARA MUNICIPAL
2017;1;000000000000002;P. M. DE AMARANTE;201009;1452.35;AUXILIAR DE SERVICOS GERAIS;SEC.MUN.DE ADMINISTRAÄ«O
2017;1;000000000000002;CAMARA DE CANTO DO BURITI;101049;1874.01;CONTROLADOR INTERNO;FOLHA DE PESSOAL COMISSIONADO
2017;1;000000000000002;CAMARA DE RIO GRANDE DO PIAUI;101173;2250;VEREADOR;VEREADORES
2017;1;000000000000002;CAMARA DE JARDIM DO MULATO;101102;1092.84;DIGITADOR (A);CARGO EFETIVO
2017;1;000000000000002;P. M. DE ILHA GRANDE;201094;2991.45;PROFESSOR C C N 4 - 40Hs;EDUC. FUNDEB 60% EFETIVO
2017;1;000000000000002;CAMARA DE CARACOL;101052;3200;VEREADOR(A);VEREADORES
2017;1;000000000000002;CAMARA DE TANQUE DO PIAUI;101214;2075;VEREADOR;FOLHA VEREADORES
2017;1;000000000000002;CAMARA DE CAMPINAS DO PIAUI;101043;2520;VEREADOR;VEREADORES
2017;1;000000000000003;P. M. DE JULIO BORGES;201110;1756.02;PROFESSOR(A);FUNDEB CLASSE C
2017;1;000000000000003;CAMARA DE FLORESTA DO PIAUI;101082;2210.42;VEREADOR PRESIDENTE;PLENARIO
2017;1;000000000000003;CAMARA DE BATALHA;101023;5557.35;VEREADOR(A);VEREADORES
2017;1;000000000000003;CAMARA DE AGUA BRANCA;101003;1300;MOTORISTA;DEPARTAMENTO ADMINISTRATIVO- EFETIVOS
2017;1;000000000000003;P. M. DE FRANCINOPOLIS;201084;937;AUX. ADMINISTRATIVO;SEC. MUN. ASSISTENCIA. SOCIAL
2017;1;000000000000003;CAMARA DE FRONTEIRAS;101088;7750;VEREADOR;VEREADORES
2017;1;000000000000003;P. M. DE CAMPINAS DO PIAUI;201043;2199.56;"PROF. ""CL B POS GRADUACAO""";FUNDEB 60% - EFETIVOS
2017;1;000000000000003;P. M. DE CAMPO MAIOR;201047;4507.49;TOPOGRAFO;FUNDO PREVIDENCIµRIO DE CAMPO MAIOR
2017;1;000000000000003;P. M. DE COLONIA DO GURGUEIA;201061;3471.46;PROF C NIVEL IV 40H;SECR. EDUCACAO 60% - COLONIA-PREV
2017;1;000000000000003;CAMARA DE BENEDITINOS;101026;2038.5;VEREADOR;PLENARIO
2017;1;000000000000003;P. M. DE RIBEIRA DO PIAUI;201171;1200;DIR. DE DEPARTAMENTO DE SERVIÄOS GERAIS;ADMINISTRAÄ«O II.
2017;1;000000000000003;CAMARA DE AROAZES;101013;1494.65;SECRETARIO(A);ADMINISTRAÄ«O GERAL/EFETIVOS
2017;1;000000000000003;P. M. DE PAES LANDIM;201145;1528;AGENTE COMUNITARIO;AGENTE COMUNITARIO
2017;1;000000000000003;P. M. DE BOM JESUS;201031;3631.47;PROFESSOR(A) CLASSE C. NIVEL IV 40HS;SEC. EDUCAÄ«O - PROFESSORES II-60% F
2017;1;000000000000003;CAMARA DE VERA MENDES;101221;937;PRESIDENTE DA CAMARA;PRESIDENTE
2017;1;000000000000003;P. M. DE CANAVIEIRA;201048;6156.25;ENFERMEIRO;PSF
2017;1;000000000000004;CAMARA DE SEBASTIAO LEAL;101207;3567;VEREADOR;CAMARA MUNICIPAL - PLENARIO
2017;1;000000000000004;CAMARA DE SAO MIGUEL DA BAIXA GRANDE;101201;2338.17;VEREADOR;PLENARIO/PLENARIO
2017;1;000000000000004;CAMARA DE CANTO DO BURITI;101049;7530;VEREADOR;VEREADORES
2017;1;000000000000004;CAMARA DE JUREMA;101111;2111.12;VEREADOR;VEREADORES
2017;1;000000000000004;FUNDO PREVIDENCIARIO DE PEDRO II;301157;937;APOSENTADOS;APOSENTADOS
2017;1;000000000000004;CAMARA DE TANQUE DO PIAUI;101214;2075;VEREADOR;FOLHA VEREADORES
2017;1;000000000000004;CAMARA DE BURITI DOS MONTES;101038;2992.5;VEREADOR - TESOUREIRO;CAMARA MUNICIPAL DE BURITI DOS MONTES
2017;1;000000000000004;CAMARA DE BREJO DO PIAUI;101036;4500;VEREADOR PRESIDENTE;VEREADORES
2017;1;000000000000004;CAMARA DE RIBEIRA DO PIAUI;101171;2685;VEREADOR;CAMARA MUNICIAL - VEREADORES
2017;1;000000000000004;CAMARA DE PEDRO LAURENTINO;101158;2702.68;VEREADOR;VEREADORES
2017;1;000000000000004;CAMARA DE VERA MENDES;101221;2630;VEREADOR(A);VEREADORES
2017;1;000000000000004;CAMARA DE TAMBORIL;101213;3480.4;VEREADOR SECRETARIO;FOLHA DE SUBSIDIOS DOS VEREADORES
2017;1;000000000000005;P. M. DE BERTOLINIA;201027;999.14;VIGIA;SECRETARIA DE ADMINISTRACAO
2017;1;000000000000005;CAMARA DE BOA HORA;101029;937;TESOUREIRO(A);COMISSIONADOS
2017;1;000000000000005;P. M. DE JULIO BORGES;201110;1318.2;SECRETµRIA DO GABINETE;A.C.S - EFETIVOS
2017;1;000000000000005;CAMARA DE VERA MENDES;101221;2630;VEREADOR(A);VEREADORES
2017;1;000000000000005;P. M. DE ILHA GRANDE;201094;2991.45;PROFESSOR C C N 4 - 40Hs;EDUC. FUNDEB 60% EFETIVO
2017;1;000000000000005;P. M. DE BAIXA GRANDE DO RIBEIRO;201018;3023.41;PROFESSOR;FUNDEB - 60%
2017;1;000000000000005;CAMARA DE RIO GRANDE DO PIAUI;101173;2250;VEREADOR;VEREADORES
2017;1;000000000000005;P. M. DE MARCOS PARENTE;201124;1373.42;AUX. SERV. GERAIS;AUX. DE SERV. GERAIS
2017;1;000000000000005;CAMARA DE SIGEFREDO PACHECO;101208;1329.43;VIGIA;EFETIVOS
2017;1;000000000000006;CAMARA DE CANTO DO BURITI;101049;6850;VEREADOR;VEREADORES
2017;1;000000000000006;CAMARA DE CRISTINO CASTRO;101067;4382.75;VEREADOR (A) TESOUREIRO (A);DEPARTAMENTO ADMINISTRATIVOS CAMARA MUNICIPAL C CA
2017;1;000000000000006;P. M. DE PORTO ALEGRE DO PIAUI;201165;1418.51;MOTORISTA;SERVIDORES EFETIVOS
